country,task,context_pct,test_pct,tabpfn_auroc,tabpfn_se,hm_auroc,hm_se,delta_tabpfn_minus_hm,winner
Paraguay,3c,30,50,0.8102877449221983,0.0240733275397287,0.8070445250884865,0.0226160382729535,0.0032432198337118967,TabPFN-v3
Paraguay,3c,40,50,0.831361739119868,0.0177340111330111,0.8169883862289614,0.0173538603278778,0.014373352890906577,TabPFN-v3
Paraguay,3c,50,50,0.8365930803221046,0.0206218924513313,0.8275355106776272,0.0180931502085381,0.009057569644477348,TabPFN-v3
UK,2c,10,50,0.7316476511517926,0.0319504288399814,0.721356840198017,0.0278698817130524,0.010290810953775598,TabPFN-v3
UK,2c,20,50,0.7756536557494289,0.0305079469874216,0.7455209835576333,0.0269854983056188,0.030132672191795606,TabPFN-v3
UK,2c,30,50,0.802024764279318,0.0269363427824578,0.773585937310315,0.0258784906279054,0.028438826969003017,TabPFN-v3
UK,2c,40,50,0.8204103252198018,0.0239630014287131,0.7821290764523898,0.0273856277747217,0.03828124876741201,TabPFN-v3
UK,2c,50,50,0.8439110934495199,0.0179291621862739,0.8012939963407886,0.0235922340969489,0.042617097108731294,TabPFN-v3
UK,3c,10,50,0.7775778605972352,0.0213516170047449,0.7686708588385918,0.0200211890738199,0.008907001758643451,TabPFN-v3
UK,3c,20,50,0.8205095680987082,0.0174499647774253,0.7972115735894354,0.0179480415548046,0.023297994509272835,TabPFN-v3
UK,3c,30,50,0.8356840672253061,0.0143293749468763,0.8108497966902901,0.0158404226213573,0.024834270535015968,TabPFN-v3
UK,3c,40,50,0.8458801102350237,0.0133046501902786,0.8224706373486687,0.0163651153994307,0.023409472886355087,TabPFN-v3
UK,3c,50,50,0.8510586241613334,0.0120837544423594,0.8287807667038803,0.0139141890288249,0.022277857457453032,TabPFN-v3
