rq,setting,task,budget,repeat,tabpfn_auroc,baseline_auroc,delta,n_geographic_units_used,valid_pair
RQ1,Continent-specific,2c,40,8,0.6995468285779176,0.6581689694932835,0.041377859084634094,2,True
RQ1,Continent-specific,2c,40,9,0.6923121258654659,0.6326415497231382,0.059670576142327625,2,True
RQ1,Continent-specific,2c,50,0,0.6945760725456246,0.6306539164224276,0.06392215612319696,2,True
RQ1,Continent-specific,2c,50,1,0.6962080818957304,0.658302170740898,0.03790591115483233,2,True
RQ1,Continent-specific,2c,50,2,0.7121161319212455,0.6666699679477438,0.04544616397350165,2,True
RQ1,Continent-specific,2c,50,3,0.769392458174194,0.7082872686498791,0.061105189524314873,2,True
RQ1,Continent-specific,2c,50,4,0.6677882023067367,0.6408036463931244,0.026984555913612374,2,True
RQ1,Continent-specific,2c,50,5,0.7066510562184101,0.6802973550967395,0.02635370112167057,2,True
RQ1,Continent-specific,2c,50,6,0.7111042009754704,0.6516821636039358,0.05942203737153462,2,True
RQ1,Continent-specific,2c,50,7,0.7569946438157583,0.721749135529422,0.035245508286336324,2,True
RQ1,Continent-specific,2c,50,8,0.7191004349135015,0.6761298806874786,0.04297055422602292,2,True
RQ1,Continent-specific,2c,50,9,0.7122104982212532,0.6681041578278253,0.04410634039342787,2,True
RQ1,Continent-specific,3c,10,0,0.618745331208485,0.6140706305497272,0.004674700658757747,2,True
RQ1,Continent-specific,3c,10,1,0.6123961238633666,0.629237813681714,-0.01684168981834744,2,True
RQ1,Continent-specific,3c,10,2,0.6172072115150415,0.6222222814220435,-0.005015069907001957,2,True
RQ1,Continent-specific,3c,10,3,0.5873110616010052,0.6075980039461912,-0.02028694234518602,2,True
RQ1,Continent-specific,3c,10,4,0.5968948233078064,0.6256189862673982,-0.028724162959591792,2,True
RQ1,Continent-specific,3c,10,5,0.5741733580016992,0.5766202481936251,-0.002446890191925899,2,True
RQ1,Continent-specific,3c,10,6,0.6163344837614438,0.6231379338264222,-0.0068034500649784,2,True
RQ1,Continent-specific,3c,10,7,0.5976352616223259,0.5927882221473201,0.004847039475005865,2,True
RQ1,Continent-specific,3c,10,8,0.6199581503330811,0.5722651429849236,0.04769300734815751,2,True
RQ1,Continent-specific,3c,10,9,0.6289894741934272,0.6401197144210993,-0.011130240227672061,2,True
RQ1,Continent-specific,3c,20,0,0.6595519853529725,0.6512507263626232,0.008301258990349392,2,True
RQ1,Continent-specific,3c,20,1,0.6728860819984883,0.6827060086433716,-0.009819926644883292,2,True
RQ1,Continent-specific,3c,20,2,0.6639456249432387,0.6848769533259018,-0.020931328382663095,2,True
RQ1,Continent-specific,3c,20,3,0.647891479204872,0.6575159022008019,-0.009624422995929915,2,True
RQ1,Continent-specific,3c,20,4,0.6633835878442256,0.6701342551321929,-0.00675066728796736,2,True
RQ1,Continent-specific,3c,20,5,0.6267296329971863,0.6305523183860136,-0.0038226853888272405,2,True
RQ1,Continent-specific,3c,20,6,0.6431319198413754,0.6566465324088869,-0.01351461256751152,2,True
RQ1,Continent-specific,3c,20,7,0.6387601957677519,0.6333562466107314,0.005403949157020471,2,True
RQ1,Continent-specific,3c,20,8,0.6600379907764304,0.6294020734575616,0.030635917318868833,2,True
RQ1,Continent-specific,3c,20,9,0.669150297703192,0.6717904724733631,-0.0026401747701710887,2,True
RQ1,Continent-specific,3c,30,0,0.6876380372149595,0.681310275461591,0.006327761753368577,2,True
RQ1,Continent-specific,3c,30,1,0.7089780239499452,0.7235708802511154,-0.014592856301170132,2,True
RQ1,Continent-specific,3c,30,2,0.6833402932584797,0.7088062117530747,-0.025465918494595008,2,True
RQ1,Continent-specific,3c,30,3,0.6870755679391982,0.6874512854163181,-0.00037571747711984127,2,True
RQ1,Continent-specific,3c,30,4,0.6735614750035335,0.7035736509733665,-0.030012175969833077,2,True
