train,test,task,finetune_pct,tabpfn_auroc,tabpfn_se,hm_auroc,hm_se,delta_tabpfn_minus_hm,winner
Italy,China,2c,10,0.5458722356008118,0.0147886513843248,0.5564608495350019,0.0267760379019796,-0.010588613934190083,HM(RF)
Italy,China,2c,20,0.5722178446323676,0.0122002000433923,0.586405453648378,0.0257166201712668,-0.01418760901601046,HM(RF)
Italy,China,2c,30,0.5909926818538007,0.0142441626800064,0.576509331230346,0.0268749769028311,0.014483350623454738,TabPFN-v3
Italy,China,2c,40,0.6163273818801314,0.0121758637357791,0.5681650175079682,0.0253641304678422,0.04816236437216315,TabPFN-v3
Italy,China,2c,50,0.6188593814953978,0.0133244658444171,0.5985657559322718,0.0202102236582015,0.020293625563125972,TabPFN-v3
Italy,UK,2c,10,0.6396362812910383,0.0355552017824421,0.6235782049577874,0.0308577012665287,0.01605807633325096,TabPFN-v3
Italy,UK,2c,20,0.6735246854536714,0.0357846928172228,0.6652773773851898,0.0331713132009734,0.008247308068481618,TabPFN-v3
Italy,UK,2c,30,0.6951530588137897,0.0338163534801516,0.6756005935773965,0.039163136142172,0.0195524652363932,TabPFN-v3
Italy,UK,2c,40,0.7177462914395385,0.0389630413304531,0.7082716149387067,0.0339702800924219,0.00947467650083178,TabPFN-v3
Italy,UK,2c,50,0.7399049817750754,0.0365114160381546,0.7150578318310802,0.0372918882914672,0.024847149943995173,TabPFN-v3
Italy,Mexico,2c,10,0.587891709431503,0.0487520049566937,0.5012144867629871,0.0333838525953031,0.08667722266851596,TabPFN-v3
Italy,Mexico,2c,20,0.6180683338174842,0.0472908589694149,0.5745827425805861,0.0277717738814565,0.0434855912368981,TabPFN-v3
Italy,Mexico,2c,30,0.6666242773338155,0.0411642834816585,0.6209669587468498,0.0288666532594383,0.045657318586965645,TabPFN-v3
Italy,Mexico,2c,40,0.6757400232495481,0.0460609399938472,0.6509175275534499,0.0291899238771939,0.02482249569609818,TabPFN-v3
Italy,Mexico,2c,50,0.6924231200112739,0.0445607654592624,0.650982671277756,0.0281390677542385,0.04144044873351793,TabPFN-v3
Italy,Mongolia,2c,10,0.6865271950508929,0.0201836017302739,0.6302235602750077,0.014535996477992,0.05630363477588518,TabPFN-v3
Italy,Mongolia,2c,20,0.72712596525189,0.0191805623222375,0.6892921703760871,0.0115827932117856,0.03783379487580285,TabPFN-v3
Italy,Mongolia,2c,30,0.7574513009036425,0.0218452791550994,0.7232914522340667,0.0128991785450816,0.03415984866957589,TabPFN-v3
Italy,Mongolia,2c,40,0.7782337627524991,0.0183861404849707,0.7443817008919688,0.0118087217034936,0.03385206186053036,TabPFN-v3
Italy,Mongolia,2c,50,0.7913166160333396,0.0168942424858463,0.7652129803484915,0.0090790852336142,0.02610363568484808,TabPFN-v3
Mongolia,India,2c,10,0.5069696170064513,0.0501297106136562,0.5859088100070842,0.0439901611337661,-0.0789391930006329,HM(RF)
Mongolia,India,2c,20,0.60137109028688,0.0395477068174672,0.6716117780419311,0.0419468241743684,-0.0702406877550511,HM(RF)
Mongolia,India,2c,30,0.685171418578223,0.0358393515836478,0.635581054615826,0.0582446069557244,0.04959036396239691,TabPFN-v3
Mongolia,India,2c,40,0.6458807159696496,0.0349476171449961,0.6804066764382745,0.0346746123529356,-0.03452596046862488,HM(RF)
Mongolia,India,2c,50,0.6782582908545983,0.0335131874828117,0.7009015141399809,0.0369398686901912,-0.022643223285382597,HM(RF)
Mongolia,Paraguay,2c,10,0.5612333196741972,0.0415078335684693,0.6141525023180687,0.0216591584186503,-0.05291918264387152,HM(RF)
Mongolia,Paraguay,2c,20,0.6703683702370793,0.0274579708158013,0.6569115379775273,0.018412755581812,0.013456832259551965,TabPFN-v3
Mongolia,Paraguay,2c,30,0.666606876509355,0.0262128989328605,0.7058626637387724,0.0155647233791957,-0.03925578722941736,HM(RF)
Mongolia,Paraguay,2c,40,0.6852453180981716,0.0296810287119634,0.7147506468952229,0.0208117798641436,-0.029505328797051367,HM(RF)
Mongolia,Paraguay,2c,50,0.7310065297954269,0.0233517034248627,0.7102125515464534,0.0281273282184948,0.020793978248973555,TabPFN-v3
Mongolia,Denmark,2c,10,0.5436605465019104,0.0323677254381521,0.5052861541971085,0.0458734361546946,0.038374392304801885,TabPFN-v3
Mongolia,Denmark,2c,20,0.5411521740038723,0.055292039392789,0.5573159910441152,0.0519814934981268,-0.016163817040242945,HM(RF)
Mongolia,Denmark,2c,30,0.571291348372047,0.0648086958025623,0.5652402909812841,0.0637397106411381,0.006051057390762837,TabPFN-v3
Mongolia,Denmark,2c,40,0.6110634232599776,0.0309089328290175,0.6073269065630638,0.0449393360042324,0.003736516696913883,TabPFN-v3
Mongolia,Denmark,2c,50,0.621017217601125,0.0533078552564163,0.6134146227685006,0.0400728000227208,0.007602594832624487,TabPFN-v3
Mongolia,China,2c,10,0.6089212063532207,0.0322336634326093,0.5410333252115357,0.0155423218624624,0.06788788114168498,TabPFN-v3
Mongolia,China,2c,20,0.6279974634026227,0.0313660544017237,0.5973329031569204,0.0161669591257677,0.0306645602457023,TabPFN-v3
Mongolia,China,2c,30,0.6339050106591755,0.0298077745175128,0.5703992653016782,0.0211954207843435,0.06350574535749731,TabPFN-v3
Mongolia,China,2c,40,0.6684299910658706,0.0282976030379458,0.5955495025152439,0.024399805171069,0.07288048855062679,TabPFN-v3
Mongolia,China,2c,50,0.6660046925809938,0.0295662325331113,0.6225219258237963,0.0187633228530231,0.04348276675719753,TabPFN-v3
Mongolia,UK,2c,10,0.6750584220442177,0.02465695284465,0.6453805588455096,0.0358626492695266,0.029677863198708132,TabPFN-v3
Mongolia,UK,2c,20,0.6980675810917039,0.0268550004193768,0.6779552568633214,0.0338253741799438,0.020112324228382494,TabPFN-v3
Mongolia,UK,2c,30,0.7379467917395242,0.0238090110276724,0.706362200384322,0.029297137187216,0.031584591355202196,TabPFN-v3
Mongolia,UK,2c,40,0.7432733394490891,0.0266705972335386,0.7342489234098226,0.0287620044016839,0.009024416039266514,TabPFN-v3
Mongolia,UK,2c,50,0.7773529610452992,0.020270450938127,0.7364188492289654,0.029532855605429,0.040934111816333774,TabPFN-v3
