country,task,finetune_pct,tabpfn_auroc,tabpfn_se,hm_auroc,hm_se,delta_tabpfn_minus_hm,winner
India,3c,30,0.7078321118716795,0.0368411051398163,0.6767230326476807,0.0318477157577077,0.031109079223998748,TabPFN-v3
India,3c,40,0.7174483798290308,0.0407160348111346,0.6855458431850142,0.0322330447945177,0.031902536644016544,TabPFN-v3
India,3c,50,0.7262000994914228,0.0432039256245592,0.6929541743698284,0.0385754941931382,0.03324592512159441,TabPFN-v3
Paraguay,3c,10,0.647401465874514,0.0252121941746928,0.6251619722873736,0.0283380050538507,0.02223949358714039,TabPFN-v3
Paraguay,3c,20,0.6933397828817368,0.032256619698135,0.653637472760505,0.036337345627574,0.03970231012123182,TabPFN-v3
Paraguay,3c,30,0.7085480855613825,0.024537512808322,0.68327439260082,0.0344409347096171,0.025273692960562477,TabPFN-v3
Paraguay,3c,40,0.7444015150963917,0.0195489831091939,0.6945233192889397,0.0290146232401109,0.04987819580745201,TabPFN-v3
Paraguay,3c,50,0.7699629881062728,0.0210720708164738,0.7293839525363506,0.0284329837266064,0.04057903556992226,TabPFN-v3
Denmark,3c,10,0.6056808599620679,0.0314546156951117,0.6140548936926897,0.0276352721919769,-0.008374033730621844,HM(RF)
Denmark,3c,20,0.6321199565822205,0.0319238371683863,0.6169522349409962,0.0147874609213578,0.015167721641224374,TabPFN-v3
Denmark,3c,30,0.6607013816633369,0.0271412644143689,0.6249861747841873,0.0205249415344278,0.03571520687914964,TabPFN-v3
Denmark,3c,40,0.6819783095968787,0.0229068237579111,0.6558137514170976,0.0187768574617223,0.026164558179781028,TabPFN-v3
Denmark,3c,50,0.6974995766291204,0.0244089413049686,0.67393849449427,0.0148655015663843,0.02356108213485042,TabPFN-v3
China,3c,10,0.6475579957485647,0.0189407031656896,0.609779774144343,0.0165512036943449,0.03777822160422162,TabPFN-v3
China,3c,20,0.6953786056795642,0.0228733585248382,0.649499354483416,0.0170645797299332,0.04587925119614822,TabPFN-v3
China,3c,30,0.7210761313305152,0.0233386195587621,0.6853964723130186,0.0154923849345631,0.03567965901749659,TabPFN-v3
China,3c,40,0.7397027378289731,0.0214735464708277,0.7028719842458889,0.0142856832299905,0.036830753583084186,TabPFN-v3
China,3c,50,0.7571044638189212,0.0226016267908369,0.713387306239426,0.0162022971707461,0.043717157579495125,TabPFN-v3
UK,3c,10,0.6696780539429026,0.020873323995018,0.634675273765891,0.0175321816434412,0.03500278017701164,TabPFN-v3
UK,3c,20,0.7160579160206093,0.0191223910920356,0.6741071597562965,0.0197372026990804,0.04195075626431277,TabPFN-v3
UK,3c,30,0.7435520797639097,0.0203332594371378,0.7055180189386892,0.0211572484745084,0.03803406082522054,TabPFN-v3
UK,3c,40,0.764175044544366,0.019484768925144,0.7249235904040938,0.0199402564791649,0.0392514541402722,TabPFN-v3
